Quantity,Mfr Part Number,Manufacturer,Description,Reference Designators,Per Board,Notes
100,CL21B104KBCNNNC,Samsung Electro-Mechanics,"CAP CER 0.1uF 50V X7R 0805","C3 C4 C6 C7 C8 C11 C12 C13",8,decoupling; equivalent 0.1uF/50V/X7R/0805 acceptable
25,GRM21BR71E105KA99L,Murata Electronics,"CAP CER 1uF 25V X7R 0805",C15,1,equivalent 1uF/>=25V/X7R/0805 acceptable; alternates: TDK C2012X7R1E105K125AB / KEMET C0805C105K3RACTU / Samsung CL21B105KAFNNNG
25,CL31A106KAHNNNE,Samsung Electro-Mechanics,"CAP CER 10uF 25V X5R 1206","C1 C2 C16",3,rail bulk; equivalent 10uF/>=25V/X5R-X7R/1206 acceptable
25,CL31A226KAHNNNE,Samsung Electro-Mechanics,"CAP CER 22uF 25V X5R 1206",C5,1,ESP32 bulk; equivalent 22uF/>=25V/X5R-X7R/1206 acceptable
100,RC0805FR-0722RL,YAGEO,"RES 22 OHM 1% 1/8W 0805","R4 R5",2,USB series; 100-pc price break ~= 25-pc cost
100,RC0805FR-07330RL,YAGEO,"RES 330 OHM 1% 1/8W 0805",R7,1,LED data series
100,RC0805FR-071K5L,YAGEO,"RES 1.5K OHM 1% 1/8W 0805",R17,1,5V status LED
100,RC0805FR-075K1L,YAGEO,"RES 5.1K OHM 1% 1/8W 0805","R1 R2",2,USB-C CC pulldowns
100,RC0805FR-0710KL,YAGEO,"RES 10K OHM 1% 1/8W 0805","R3 R6 R13 R14 R15 R16",6,
25,CRGH1206F18K,TE Connectivity,"RES 18K OHM 1% 1/2W 1206 200V","R10 R11 R12",3,nixie anode - DO NOT substitute low-voltage 1206
100,RC0805FR-07430KL,YAGEO,"RES 430K OHM 1% 1/8W 0805","R18 R19",2,HV status LED divider
10,LTST-C170GKT,Lite-On,"LED GREEN 0805",D5,1,5V status
10,APT2012SURCK,Kingbright,"LED SUPER RED 0805",D6,1,HV status - high brightness for 0.2mA drive
20,SMTLA5050RGB,Bivar,"LED RGB ADDRESSABLE 5050","D2 D3 D4",3,tube backlight - keep exact part (footprint/protocol specific)
8,TPD2E2U06DRLR,Texas Instruments,"TVS DIODE USB ESD SOT-553",D1,1,keep exact part
8,AP7361C-33E-13,Diodes Incorporated,"IC REG LDO 3.3V 1A SOT-223",U1,1,prefer exact; verify pinout/dropout/stability on any substitute
8,SN74AHCT1G125DBVR,Texas Instruments,"IC BUF NON-INVERT 5.5V SOT-23-5",U3,1,keep exact - AHCT thresholds required for 3.3V->5V LED data
6,ESP32-S3-WROOM-1-N8,Espressif Systems,"WIFI/BT MODULE ESP32-S3 8MB QSPI no-PSRAM",U2,1,confirmed for WLED OTA (8MB QSPI no-PSRAM build); initial flash via USB
8,USB4216-03-A,GCT,"CONN RCPT USB2.0 TYPE-C 16P",J1,1,keep exact part - footprint mechanically specific
10,MF-MSMF150/12X-2,Bourns,"PTC RESET FUSE 12V 1.5A 1812",F1,1,keep exact or verified equivalent
15,PTS645SL70SMTR92 LFS,C&K,"SWITCH TACTILE SPST-NO SMD","SW1 SW2",2,RESET/BOOT; keep exact unless substitute footprint verified
18,ED16DT,On Shore Technology,"SOCKET IC DIP-16 7.62MM",U4 U5 U6 (optional),3,recommended for vintage 74141/K155ID1; 16-pin 0.300in spacing
