Mfr Part Number,Manufacturer,Description,Quantity 1,Customer Part Number
CL21B104KBCNNNC,Samsung Electro-Mechanics,CAP CER 0.1UF 50V X7R 0805,100,C3 C4 C6-C8 C11-C13
GRM21BR71E105KA99L,Murata,CAP CER 1UF 25V X7R 0805,25,C15
CL31A106KAHNNNE,Samsung Electro-Mechanics,CAP CER 10UF 25V X5R 1206,25,C1 C2 C16
CL31A226KAHNNNE,Samsung Electro-Mechanics,CAP CER 22UF 25V X5R 1206,25,C5
RC0805FR-0722RL,Yageo,RES 22 OHM 1% 0805,100,R4 R5
RC0805FR-07330RL,Yageo,RES 330 OHM 1% 0805,100,R7
RC0805FR-071K5L,Yageo,RES 1.5K OHM 1% 0805,100,R17
RC0805FR-075K1L,Yageo,RES 5.1K OHM 1% 0805,100,R1 R2
RC0805FR-0710KL,Yageo,RES 10K OHM 1% 0805,100,R3 R6 R13-R16
CRGH1206F18K,TE Connectivity,RES 18K OHM 1% 0.5W 200V 1206,25,R10-R12
RC0805FR-07430KL,Yageo,RES 430K OHM 1% 0805,100,R18 R19
LTST-C170GKT,Lite-On,LED GREEN 0805,10,D5
APT2012SURCK,Kingbright,LED SUPER RED 0805,10,D6
SMTLA5050RGB,Bivar,LED RGB ADDRESSABLE 5050,20,D2-D4
TPD2E2U06DRLR,Texas Instruments,TVS USB ESD SOT-553,8,D1
AP7361C-33E-13,Diodes Incorporated,LDO 3.3V 1A SOT-223,8,U1
SN74AHCT1G125DBVR,Texas Instruments,BUFFER 1G AHCT SOT-23-5,8,U3
ESP32-S3-WROOM-1-N8,Espressif Systems,MODULE ESP32-S3 8MB,6,U2
USB4216-03-A,GCT,CONN USB-C 2.0 16P,8,J1
MF-MSMF150/12X-2,Bourns,PTC FUSE 1.5A 1812,10,F1
PTS645SL70SMTR92LFS,C&K,SWITCH TACTILE SMD,15,SW1 SW2
ED16DT,On Shore Technology,SOCKET DIP-16 0.3IN,18,U4-U6
